Filter,ITK,SITK,Remark,ToDo
LabelStatisticsOpeningImageFilter,True,False,,False
LabelToRGBImageFilter,True,True,,False
LabelVotingImageFilter,True,True,,False
LandweberDeconvolutionImageFilter,True,True,,False
LaplacianImageFilter,True,True,,False
LaplacianRecursiveGaussianImageFilter,True,True,,False
LaplacianSegmentationLevelSetImageFilter,True,True,,False
LaplacianSharpeningImageFilter,True,True,,False
LessEqualImageFilter,False,True,,False
LessImageFilter,False,True,,False
LiThresholdImageFilter,True,True,,False
Log10ImageFilter,True,True,,False
LogImageFilter,True,True,,False
MagnitudeAndPhaseToComplexImageFilter,True,True,,False
MaskImageFilter,True,True,,False
MaskNegatedImageFilter,True,True,,False
MaskedFFTNormalizedCorrelationImageFilter,True,True,,False
MaximumEntropyThresholdImageFilter,True,True,,False
MaximumImageFilter,True,True,,False
MaximumProjectionImageFilter,True,True,,False
MeanImageFilter,True,True,,False
MeanProjectionImageFilter,True,True,,False
MedianImageFilter,True,True,,False
MedianProjectionImageFilter,True,True,,False
MinMaxCurvatureFlowImageFilter,True,True,,False
MinimumImageFilter,True,True,,False
MinimumMaximumImageFilter,True,True,,False
MinimumProjectionImageFilter,True,True,,False
MirrorPadImageFilter,True,True,,False
ModulusImageFilter,True,True,,False
MomentsThresholdImageFilter,True,True,,False
MorphologicalGradientImageFilter,True,True,,False
MorphologicalWatershedFromMarkersImageFilter,False,True,,False
MorphologicalWatershedImageFilter,False,True,,False
MovingHistogramImageFilter,True,False,,False
MultiLabelSTAPLEImageFilter,False,True,,False
MultiResolutionPyramidImageFilter,True,False,,False
MultiplyImageFilter,True,True,,False
N4BiasFieldCorrectionImageFilter,False,True,,False
NarrowBandCurvesLevelSetImageFilter,True,False,,False
NarrowBandLevelSetImageFilter,True,False,,False
NarrowBandThresholdSegmentationLevelSetImageFilter,True,False,,False
NaryAddImageFilter,True,True,,False
NaryMaximumImageFilter,True,True,,False
NeighborhoodConnectedImageFilter,True,True,,False
NoiseBaseImageFilter,True,False,,False
NoiseImageFilter,True,True,,False
NormalizeImageFilter,True,True,,False
NormalizeToConstantImageFilter,True,True,,False
NormalizedCorrelationImageFilter,False,True,,False
NotEqualImageFilter,False,True,,False
NotImageFilter,True,True,,False
OpeningByReconstructionImageFilter,True,True,,False
OrImageFilter,True,True,,False
OrientImageFilter,True,False,,False
OtsuMultipleThresholdsImageFilter,True,True,,False
